期間|案件|技術|担当
2021/10–2022/2|Nuxt.js案件 A・B|Nuxt.js|参画
2022/9–2023/1|Webアプリケーション（案件名非掲載）|React / Go|デザイン以外すべて
2022/10–2023/5|商品サンプル配布サービス（ToC）|React / Go|リードエンジニア兼PM
2022/10–2023/5|外国人管理SaaS|React / Go|リードエンジニア兼PM
2023/3–2023/5|図面検索AIアプリケーション|React / Go / FastAPI|デザイン・AI部分以外すべて
2023/4–現在|シフト計算SaaS|React|デザイン以外のフロントエンド実装
2023/4–現在|船会社の基幹システム|React / Go|リードエンジニア兼PM
2023/9–現在|講座受講システム|React / Go|リードエンジニア兼PM
2023/9–2024/3|国内人材マッチングサービス|React / Go|リードエンジニア兼PM
2023/9–2024/3|海外人材マッチングサービス|React / Go / Vincere連携|リードエンジニア兼PM
2024/4–2024/5|リスキリングサービス|React / Go|開発支援
2024/4–2024/9|製造業生産管理システム（作業指令書発行）|React / Go|バックエンドエンジニア兼PM
2024/8–2024/9|美容院カルテ管理システム（ToC）|React / Go|リードエンジニア兼PM
2024/8–2025/5|シフト計算・管理システム|React / Go / Rust|PM
2024/8–2025/5|生産計画・数理最適化|記載なし|アドバイザー
2024/11–2025/3|医療系Webアプリ（ToC）|React / Go|要件定義補佐・アドバイザー
2024/11–2025/3|AI BIツール|React / Go|PM
2024/11–2025/4|AI車両動画解析システム|React / Hono|リードエンジニア兼PM
2025/1–2025/8|基幹システム間データ連携用中間サーバーのリプレイス|React / Go|要件定義・アドバイザー
2025/3–2025/4|医療研究系アプリケーション|React|エンジニア
2025/1–2026/8|Twitter風SNS（ToC）|React / Go|リードエンジニア兼PM
2025/4–2025/11|運送系基幹システム1|React / Go|リードエンジニア兼PM
2025/4–2025/11|運送系基幹システム2|React / Go|リードエンジニア兼PM
2025/5–2025/9|製造業データ検索Webアプリ|React / Go|PM
2025/9–現在|新規事業アプリ開発|React / Go|リードエンジニア兼PM
2025/11–2026/3|コンシューマー向け会員管理システム|React / Go|リードエンジニア兼PM
2026/1–現在|船舶系基幹システム|React / Go|リードエンジニア兼PM
